Date,Open,High,Low,Close,Adj Close,Volume
2018-03-01,44.634998,44.945000,43.165001,43.750000,41.771477,195208000
2018-03-02,43.200001,44.075001,43.112499,44.052502,42.060299,153816000
2018-03-05,43.802502,44.435001,43.630001,44.205002,42.205910,113605600
2018-03-06,44.477501,44.562500,44.032501,44.167500,42.170097,95154000
2018-03-07,43.735001,43.962502,43.567501,43.757500,41.778637,126814000
2018-03-08,43.869999,44.279999,43.767502,44.235001,42.234550,95096400
2018-03-09,44.490002,45.000000,44.347500,44.994999,42.960178,128740800
2018-03-12,45.072498,45.597500,45.052502,45.430000,43.375504,128828400
2018-03-13,45.647499,45.875000,44.810001,44.992500,42.957790,126774000
2018-03-14,45.080002,45.130001,44.452499,44.610001,42.592583,117473600
2018-03-15,44.625000,45.060001,44.517502,44.662498,42.642712,90975200
2018-03-16,44.662498,44.779999,44.404999,44.505001,42.492332,157618800
2018-03-19,44.330002,44.367500,43.415001,43.825001,41.843090,133787200
2018-03-20,43.810001,44.200001,43.735001,43.810001,41.828758,78597600
2018-03-21,43.759998,43.772499,42.814999,42.817501,40.881157,148219600
2018-03-22,42.500000,43.169998,42.150002,42.212502,40.303513,165963200
2018-03-23,42.097500,42.480000,41.235001,41.235001,39.370216,164115200
2018-03-26,42.017502,43.275002,41.610001,43.192501,41.239185,150164800
2018-03-27,43.419998,43.787498,41.730000,42.084999,40.181786,163690400
2018-03-28,41.812500,42.505001,41.297501,41.619999,39.737801,166674000
2018-03-29,41.952499,42.937500,41.724998,41.945000,40.048115,153594000
2018-04-02,41.660000,42.235001,41.117500,41.669998,39.785542,150347200
2018-04-03,41.910000,42.187500,41.220001,42.097500,40.193710,121112000
2018-04-04,41.220001,43.002499,41.192501,42.902500,40.962311,138422000
2018-04-05,43.145000,43.557499,43.020000,43.200001,41.246353,107732800
2018-04-06,42.742500,43.119999,42.049999,42.095001,40.191326,140021200
2018-04-09,42.470001,43.272499,42.462502,42.512501,40.589947,116070800
2018-04-10,43.250000,43.500000,42.882500,43.312500,41.353767,113634400
2018-04-11,43.057499,43.480000,42.924999,43.110001,41.160419,89726400
2018-04-12,43.352501,43.750000,43.259998,43.535000,41.566193,91557200
2018-04-13,43.695000,43.959999,43.462502,43.682499,41.707031,100497200
2018-04-16,43.757500,44.047501,43.707500,43.955002,41.967209,86313600
2018-04-17,44.122501,44.735001,44.102501,44.560001,42.544853,106421600
2018-04-18,44.452499,44.705002,44.220001,44.459999,42.449368,83018000
2018-04-19,43.439999,43.847500,43.165001,43.200001,41.246353,139235200
2018-04-20,42.650002,42.805000,41.357498,41.430000,39.556393,261964400
2018-04-23,41.707500,41.730000,41.022499,41.310001,39.441822,146062000
2018-04-24,41.417500,41.582500,40.305000,40.735001,38.892822,134768000
2018-04-25,40.654999,41.355000,40.602501,40.912498,39.062302,113528400
2018-04-26,41.029999,41.432499,40.842499,41.055000,39.198353,111852000
2018-04-27,41.000000,41.082500,40.157501,40.580002,38.744843,142623200
2018-04-30,40.532501,41.814999,40.459999,41.314999,39.446598,169709600
2018-05-01,41.602501,42.299999,41.317501,42.275002,40.363190,214277600
2018-05-02,43.807499,44.437500,43.450001,44.142502,42.146229,266157600
2018-05-03,43.970001,44.375000,43.610001,44.222500,42.222607,136272800
2018-05-04,44.562500,46.062500,44.542500,45.957500,43.879143,224805200
2018-05-07,46.294998,46.917500,46.187500,46.290001,44.196602,169805600
2018-05-08,46.247501,46.555000,45.917500,46.512501,44.409050,113611200
2018-05-09,46.637501,46.849998,46.305000,46.840000,44.721741,92844800
2018-05-10,46.935001,47.592499,46.912498,47.509998,45.361439,111957200
2018-05-11,47.372501,47.514999,46.862499,47.147499,45.188927,104848800
2018-05-14,47.252499,47.382500,46.965000,47.037498,45.083485,83115200
2018-05-15,46.695000,46.767502,46.275002,46.610001,44.673748,94780800
2018-05-16,46.517502,47.115002,46.500000,47.044998,45.090668,76732400
2018-05-17,47.000000,47.227501,46.590000,46.747501,44.805534,69176000
2018-05-18,46.797501,46.952499,46.532501,46.577499,44.642590,73190800
2018-05-21,47.000000,47.317501,46.727501,46.907501,44.958897,73603200
2018-05-22,47.095001,47.220001,46.695000,46.790001,44.846272,60962800
2018-05-23,46.587502,47.125000,46.439999,47.090000,45.133808,80233600
2018-05-24,47.192501,47.209999,46.552502,47.037498,45.083485,92936000
2018-05-25,47.057499,47.412498,46.912498,47.145000,45.186520,69844000
2018-05-29,46.900002,47.187500,46.717499,46.974998,45.023582,90056400
2018-05-30,46.930000,47.000000,46.695000,46.875000,44.927738,74762000
2018-05-31,46.805000,47.057499,46.535000,46.717499,44.776775,109931200
